,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
5802,2018,2018-01-02 07:49:29.771,102900.0,United States,81301,Microsoft SQL Server,22,"DB2, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,22,Not Asked,None,Not Asked,9,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Female,Data Scientist,"Build scripts & automation tools, Manual tasks, Meetings & management, On-call as part of a rotation, On-call 24/7/365, Projects",1
5453,2018,2017-12-24 13:26:31.789,100000.0,United States,55369,Microsoft SQL Server,10,"Microsoft SQL Server, DB2",Full time employee,Developer: T-SQL,Yes,3,Not Asked,2,Not Asked,8,Associates (2 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer,  but change roles",Male,"Analyst, Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: Business Intelligence (SSRS, PowerBI, etc), Manager","Build scripts & automation tools, Meetings & management, Projects",1
2388,2017,2017-01-09 14:12:21.380,55000.0,United States,Not Asked,Microsoft SQL Server,4,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,Not Asked,4,Not Asked,3,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
5253,2018,2017-12-21 07:24:27.095,115000.0,United States,98903,Microsoft SQL Server,20,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,Not Asked,4,Not Asked,300,Associates (2 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Non-profit,No,"Stay with the same employer, same role",Male,,"Build scripts & automation tools, Manual tasks, On-call as part of a rotation, R&D",1
2345,2017,2017-01-09 12:57:39.930,115000.0,United States,Not Asked,Microsoft SQL Server,25,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Microsoft Access",Full time employee,DBA,No,3,Not Asked,2,Not Asked,150,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6091,2019,2018-12-11 09:13:38.563,100000.0,United States,60603,Microsoft SQL Server,15,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,15,1 (this is the only company where I've had this kind of position),None,250-499,5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",1M+ (metropolis),Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"Analyst, Architect, DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers), Developer: T-SQL",,1
657,2017,2017-01-05 12:14:06.256,20000.0,Russia,Not Asked,Microsoft SQL Server,4,,Full time employee,Engineer,No,1,Not Asked,4,Not Asked,100,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Not Asked,Federal government,"Yes, but only passively (just curious)",Not Asked,Not Asked,Not Asked,Not Asked,1
790,2017,2017-01-05 13:12:45.248,23500.0,Czech Republic,Not Asked,Microsoft SQL Server,6,,Full time employee,Analyst,No,10,Not Asked,1,Not Asked,10,Masters,,"No, I never have",42,"None, or less than 1 day per week",Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
2299,2017,2017-01-09 12:08:44.974,112000.0,United States,Not Asked,Microsoft SQL Server,16,"Microsoft Access, Azure SQL DB",Full time employee,DBA,Yes,4,Not Asked,None,Not Asked,45,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Not Asked,Private business,"Yes, actively looking for something else",Not Asked,Not Asked,Not Asked,Not Asked,1
4168,2018,2017-12-18 19:23:39.013,108000.0,United States,532,Microsoft SQL Server,17,"MySQL/MariaDB, MongoDB, SQLite, Azure SQL DB, Influxdb",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,8,Not Asked,1,Not Asked,160,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,3,Not Asked,Private business,"Yes, but only passively (just curious)",Prefer not to say,Male,"Architect, DBA (Development Focus - tunes queries, indexes, does deployments), Developer: App code (C#, JS, etc)","Build scripts & automation tools, Manual tasks, On-call as part of a rotation, Projects, R&D",1
1359,2017,2017-01-06 09:26:30.407,20000.0,India,Not Asked,Microsoft SQL Server,4,,Full time employee,DBA,No,0,Not Asked,More than 5,Not Asked,400,Masters,Yes,"No, I never have",48,1,Not Asked,Private business,No,Not Asked,Not Asked,Not Asked,Not Asked,1
6869,2019,2019-01-02 14:58:14.895,88000.0,United States,53095,Microsoft SQL Server,12,"Microsoft SQL Server, DB2, Microsoft Access, Azure SQL DB",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,2 (I worked at another similar position elsewhere before this one),3,1000 or more,75,Bachelors (4 years),No,"Yes, but they expired",45,"None, or less than 1 day per week",20K-99K (large town),Private business,No,"Stay with the same employer, same role",Male,Engineer,"Build scripts & automation tools, Projects",1
5648,2018,2017-12-27 16:48:04.209,114000.0,United Kingdom,London,Microsoft SQL Server,7,"DB2, SAP",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,7,Not Asked,More than 5,Not Asked,1000,Bachelors (4 years),Yes,"No, I never have",45,1,Not Asked,Private business,No,Prefer not to say,Female,"Engineer, Manager","Build scripts & automation tools, Meetings & management, On-call as part of a rotation, Projects",1
4685,2018,2017-12-20 09:14:52.968,80000.0,United States,66062,Microsoft SQL Server,5,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",Yes,3,Not Asked,None,Not Asked,3,None (no degree completed),,"No, I never have",45,2,Not Asked,Private business,"Yes, but only passively (just curious)","Stay with the same employer, same role",Male,"DBA (Production Focus - build & troubleshoot servers, HA/DR), Developer: T-SQL, Manager","Build scripts & automation tools, Meetings & management, On-call 24/7/365, Projects, R&D, Training/teaching",1
